PM,  X,  Y
      39.0000000,        624951.000000,       3343345.000000
      39.0000000,        624989.990135,       3343345.000000
      39.0000000,        624996.138229,       3343370.000000
      39.0000000,        624999.228012,       3343395.000000
      39.0000000,        625000.092445,       3343420.000000
      39.0000000,        624998.561058,       3343445.000000
      39.0000000,        624994.178783,       3343470.000000
      39.0000000,        624985.464203,       3343495.000000
      39.0000000,        624963.175922,       3343520.000000
      39.0000000,        624951.000000,       3343523.570312
      39.0000000,        624938.824078,       3343520.000000
      39.0000000,        624916.535797,       3343495.000000
      39.0000000,        624907.821217,       3343470.000000
      39.0000000,        624903.438942,       3343445.000000
      39.0000000,        624901.907555,       3343420.000000
      39.0000000,        624902.771988,       3343395.000000
      39.0000000,        624905.861771,       3343370.000000
      39.0000000,        624912.009865,       3343345.000000
      89.0000000,        624951.000000,       3343345.000000
      89.0000000,        624987.254913,       3343345.000000
      89.0000000,        624988.201767,       3343370.000000
      89.0000000,        624984.708141,       3343395.000000
      89.0000000,        624976.401680,       3343420.000000
      89.0000000,        624951.000000,       3343442.126923
      89.0000000,        624925.598320,       3343420.000000
      89.0000000,        624917.291859,       3343395.000000
      89.0000000,        624913.798233,       3343370.000000
      89.0000000,        624914.745087,       3343345.000000
     139.0000000,        624951.000000,       3343345.000000
     139.0000000,        624985.451569,       3343345.000000
     139.0000000,        624982.238268,       3343370.000000
     139.0000000,        624971.352341,       3343395.000000
     139.0000000,        624951.000000,       3343410.732895
     139.0000000,        624930.647659,       3343395.000000
     139.0000000,        624919.761732,       3343370.000000
     139.0000000,        624916.548431,       3343345.000000
     352.0000000,        624951.000000,       3343345.000000
     352.0000000,        624979.040897,       3343345.000000
     352.0000000,        624951.000000,       3343358.185930
     352.0000000,        624922.959103,       3343345.000000
     527.0000000,        624951.000000,       3343345.000000
